Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
RABLP 151/49,,,100%BRA,,100%BRA,,,,
1HO4159,CARD,,HICKS-HOLLOW PROMPT,,KNOXLAND ROTATE G ANDRID-ET,,,,
180HO79486,FINGER,,LONG-LANGS OMAN OMAN-ET,,COMETE,,,,
1HO10460,DE PRINCE-RED,,SCIENTIFIC DESTRY-ET,,CO-OP TOYSTRY PEACE 2409-ET,,,,
7HO10902,BARD,,WABASH-WAY ARBOR-ET,,SOUTHERN-HILLS GW BENTIY-ET,,,,
1HO8089,JOHAN,,528 ETAZON LORD LILY-ET,,JOHANNA 141,,,,
11HO7856,SPARTA,,MARA-THON BW MARSHALL-ET,,PARADISE-DAD CON SYLVIA-ET,,,,
1HO6493,HYPER-RED-ET,,LAPOE-NEYER BS MARIO-ET,,MISS PHEASANTS HOLLEY-ET,,,,
200HO10914,ATTABOY,,VIEW-HOME MONTEREY-ET,,STANTONS 1 ST AMY,,,,
1HO3266,PHYLUM,,CURTMAID EMERALD TARGET,,WELCOME BGENE PHLOX-ET,,,,
11HO5560,REGENCY,,528 ETAZON CELSIUS-ET,,MARKWELL ASTAR ROSETTE-ET,,,,
7HO13563,VIKING,,DE-SU HEINZ 12342-ET,,S-S-I MONT 8646 10731-ET,,,,
200HO10599,FLUTE,,COGENT SUPERSHOT,,VIEW-HOME MCC FOUND-ET,,,,
29HO17919,TACTIC,,LARCEREST COMMANDER-ET,,DE-SU UNO 2541-ET,,,,
29HO10824,SCOUT,,STARKY MERR MARATHON,,FAR-O-LA WIN SWEET-ET,,,,
11HO10767,NETWORTH,,ENSENADA TABOO PLANET-ET,,BOMAZ RAMOS 4111-ET,,,,
29HO12684,BLASTAR,,PICSTON SHOTTLE-ET,,ORONO STORM BLACKROSE PI ET,,,,
29HO6276,NANKING,,ARLINDA ROTATE,,BLACKCREST ENHANCER NAN-RED-ET,,,,
11HO9497,OMAX,,O-BEE MANFRED JUSTICE-ET,,GLEN-TOCTIN AARON LILITH-ET,,,,
202HO0991,SCIROCCO,,SEAGULL-BAY SUPERSIRE-ET,,LAUBE,,,,
200HO5337,PICOLO-RED,,PURSUIT SEPTEMBER STORM,,LA PRESENTATION PICCOLIE,,,,
200HO10726,ROUTER,,LAPYS-MANOR DOORSOPEN-ET,,SIEMERS S-SIRE ROZ-ANNE-ET,,,,
11HO11509,ALTABREEZE,,RICKLAND PREDESTINE 669-ET,,VENDAIRY BREESHIA,,,,
250HO1125,BINOO,,TIGER-LILY LADD P-RED-ET,,GEN-I-BEQ MANOMAN BIBI,,,,
1HO10632,MANCHU,,DOOL-LEIGH GOLDWYN CLARK-ET,,SULLY PLANET MANITOBA-ET,,,,
11HO7160,TULIP,,528 EASTLAND CASH-ET,,528 VENERIETE JABOT SHERESE,,,,
200HO5937,MCQUEEN,,ROUMARE-ET,,DESLACS FREELANCE MAELLA,,,,
29HO13239,GARDETTO,,PICSTON SHOTTLE-ET,,GOLD-N-OAKS J-F GO-GIRL-ET,,,,
7HO10224,LEVEN,,REGANCREST-HHF MAC-ET,,RALMA SHOTTLE CF CANDLE-ET,,,,
8HO2496,BULL,,ROTATE,,OTSEGO-HILLS WONDER WOMAN,,,,
7HO5480,TROPIC,,LUTZ-MEADOWS E MANDEL-ET,,EMERALD-ACRES-SA TRINA-ET,,,,
7HO8481,GOLDLINK,,OPSAL FINLEY-EY,,SPRING-RUN RUDLPH JONES,,,,
200HO2033,AGENCY*RC,,B-HIDDENHILL S MAR MARMAX-ET,,STANBRO SYMBOL,,,,
11HO9806,PLOY,,ROYLANE JORDAN-ET,,RABUR OUT SIDE PANDORA,,,,
73HO1307,HELI,,GLENAFTON GNHANCER,,CENTERDEL ELEVAT APOLLO HELI,,,,
7HO9961,DIENER,,BRAEDALE GOLDWYN,,MISSION-BELL B IRON DIRECT,,,,
29HO17357,NATION,,EDG RUBICON-ET,,NADJA100,,,,
29HO18197,VERONA,,WESTENRADE ALTASPRING,,FARNEAR-TBR-BH VARSITY-ET,,,,
504HO4019,VIGOROUS,,EMERALD-ACR-SA T-BAXTER,,HONEYCREST OUTS THRILLER-ET,,,,
29HO5537,DEKKER,,SWEET-HAYEN TRADITINO,,CLOVER-MATT-WEST BONITA-ET,,,,
7HO7527,AMERICA,,MANAT ET,,DI-IE-LEE ADRIELLE-ET,,,,
7HO9501,OLEGANT,,HONEYCREST ELEGANT-ET,,UFM-DUBS OROY,,,,
831606,MOROS,,STOUDER MORTY-ET,,MARKWELL DURHAM DOREEN,,,,
29HO14883,ELVIS,,ENSENADA TABOO PLANET-ET,,HARVUE SHOTTLE ESTHER-ET,,,,
29HO4582,GARET,,S-W-D VALIANT,,GARET GLENDELL ALICE,,,,
889217,PEARL,,GOLD-OAKS ST ALEXANDER-ET,,PEELDIJKER LIESJE 385,,,,
288HO0175,SNIPER,,MORNINGVIEW MCC KINGBOOY-ET,,SNOWBIZ SYMPATICO SAL,,,,
7HO6101,SOCCER,,ETAZON CELSIUS,,EVER-GREEN-VIEW SASHA-ET,,,,
29HO4997,MANJO,,ENG-AMER IVANHOE JERRY,,INKA WHIRLHILL PABST DELLA,,,,
7HO11824,BUZZ,,ROYLANE SOCRA ROBUST-ET,,FARNEAR BROCADE BOZICA-ET,,,,
23HO0413,FORMAT,,LEKKER IVANHO BELL JESSE-ET,,CURRIES-M ROTATE FRIDAY-ET,,,,
14HO3023,DELMAN,,PEN-COL DUSTER-ET,,ANDERSONVILLE CH VAL DELLA,,,,
151HO0432,DANIAL,,STOUDER MORTY-ET,,MAR-BIL CONVINCE GARNISH-ET,,,,
7HO13096,BRAINER,,PINE-TREE ASPEN 223-ET,,S-S-I MINOS BLONDIE 7312-ET,,,,
14HO5293,BOOMER,,MARA-THON BW MARSHALL-ET,,HIDDEN-VIEW BROOKE-ET,,,,
29HO16755,ABACUS,,VA-ERRLY-DAWN SUDAN CRI-ET,,RMW SUPER  ARIANE-ET,,,,
11HO3130,BRID,,RIPVALLEY NA BELL TROY-ET,,RIVER-BRIDGE ROTATE DUCHESS,,,,
29HO12870,SILHOUETTE,,GO-FARM FORD VIRZIL ET TV TL,,SILLA-ET,,,,
14HO2721,ACTIVE,,ZEE-CAL COMMOTION-ET,,THREE-PEAKS CV MISTY-ET,,,,
200HO6331,MONSTER,,REGANCREST BAL TIMOR-ET,,WALLU BOL TON MATILED,,,,
29HO16222,ANDERSON,1HO8784,BADGER-BLUFF FANNY FREDDIE,,APPLOUIS JET STREAM ALDA-ET,,,,
14HO4924,KRAMER,7HO6417,O-BEE MANFRED JUSTICE-ET,,BOMAZ HERSHEL 2387-ET,,,,
200HO1003,MYSPACE,7HO11314,MOUNTFIELD SSI DCY MOGUL-ET,,SANDY-VALLEY PLANET MELODY,,,,
1HO9114,CONAN,1HO6362,CLOVER-VALLEY DUSTER IVAN,,CLOVER-VALLEY MARSHALL CELE,,,,
664091,BERGER,11HO2548,HAPPY-HERD BERD BEAUTICIAN,,ILROT,,,,
29HO16525,PRIZE,29HO14768,BERRYRIDGE JEEVES JIVES-ET,,SYNERGY PLANET PASSION-ET,,,,
11JE1223,COLACHO,11JE1119,MULTI-ROSE VALENTINO DEVOTION,,VALSIGNA SPARKY 18533,,,,
830165,TALER,1HO1333,CURTMAID EMERALD TARGET,,JAMAIKA,,,,
1HO11902,CANE,224HO2881,COHENT SUPERSHOT,,MATCREST BOOKEM CAPRI-ET,,,,
14HO4206,SCOOTER,14HO2958,SILDAHL BW DUTCH BOY-ET,,SHER-EST CUSTER STARDUST-ET,,,,
14HO7892,ECHO,7HO12569,OCD JABIR HEISENBERG-ET,,OCD YODER ENRICH 3844-ET,,,,
11HO3695,LEGEND,8HO2024,ROTHROCK TRADITION LEADMAN,,DIXE-LEE MARK LIZA-ET,,,,
7HO09961,DIENER,,BRAEDALE GOLDWYN,,MISSION-BELL B IRON DIRECT,,,,
29HO16062,RUSTLER,14HO4766,CHAMPION CHAM-ET,,REGANCRESTDL S RALISHA-ET,,,,
100HO6543,POINTMAN,,ROTHROCK TRADITION LEADMAN,,CRACIN ENHANCER SASSIE,,,,
7HO12959,GIMLT,,MELARRY MACK ALCO-ET,,PENN-ENGLAND GIFAN 10272-ET,,,,
200BS7885,NOLIEMTS,,SUN-MADE VIGOR-ET,,KIBA DELICATA-ET,,,,
7HO9897,AGASSI,200HO4779,R-E-W BUCKEYE-ET,,CANYON-BREEZE HRL ARIEL-ET,,,,
669099,BROM,,MOROVILLE MASCOT BROCK,,LORENDA,,,,
1HO7605,MAJISTY,,KEIDEL BELLWOOD SATURN-ET,,CO-OP ADDISON VIXEN,,,,
151BS0220,APACHE,54BS0374,SUN-MADE VIGOR ET*TM,,ELM PARK HART AMERI LADY ET,,,,
151HO5687,LINUX-RED,6HO0817,JA-BOB JORDAN-RED-ET,,BORHART JUBILANT LEXUS-ET,,,,
7HO9247,FULTON,29HO12209,PICSTON SHOTTLE-ET,,JEFFANA THRONE FAUCETT-ET,,,,
151HO5656,PRATYBOY-RED,70HO0969,STBVQ RUBENS,,STARSTRUCK J PENNY-RED-ET,,,,
669692,COMLANO,29HO8343,WA-DEL CONVINCER ET TL CV BY,,LALITA,,,,
7HO10904,COLT-P-RED,7HO8223,AGGRAVATION LAWN BOY P-RED,,SANDY-VALLEY-W B CRYSTAL-ET,,,,
1HO10648,PUZZLE,,DE-SU OBSERVER-ET,,WEIGELINE SHOTTLE 1291-ET,,,,
97HO6551,HOLLER,,HOLIM NZ IGALE LEOPARD-ET,,SRC AMBZED GERRIS HOLLY,,,,
203WY0907,CHAMIZAL,,BENFEITOR RAPOSO CAL,,G51 LARA,,,,
29HO18832,ROLEX,29HO18296,ABS ACHIEVER-ET,,DE-SU MODESTY 5781-ET,,,,
1HO0880,KAMERON,11HO1862,TO-MAR WISTER-ET,,MILK-E-WAY CLETUS KITTEN-ET,,,,
29HO13371,TELECOM,200HO0170,MAINSTREAM MAGICAL-ET,,GO-FARM HOLLYWOOD ET,,,,
750229,TYPE,200HO7030,LADINO PACK TALENT-IMP-ET-RDC-,,DESLACS MILESTONE KELLY,,,,
14HO6276,GARFIELD,7HO7712,VELVET-VIEW-KJ SOCRATES-ET,,PARADISE-D JS TREAM GARMEN,,,,
29HO0842,ROVER-RED,7HO4350,BASSETTS MASAL ALAMO-RED-ET,,ELM-PACK REDEZVOUS-ET,,,,
831516,AURA,39HO0750,CANYON-BREEZE ALLEN-ET,,EURO LAURA,,,,
200HO6423,GERRY,29HO14615,LARCREST CANCUN-ET,,LADYS-MANOR RUBYF GERI-ET,,,,
7HO6267,SLOAN,9HO6267,BRABANT STAR PATRON-ET,,CLOVER-VALLEY SANDI TESK,,,,
49304,DA BENT,29JE2840,BUSH RIVER BRIGADIER-ET,,-,,,,
44HO0438,DECEMBER,7HO10849,LADYS-MANOR PL SHANROCK-ET,,DIAS&DIAS O MAN 7648,,,,
11HO33081,PLANET,7HO33081,SEAGULL-BAY SUPERSIRE-ET,,COMESTAR LAUTAMIRE PLANET,,,,
200JE0183,DAVID,7JE1083,LYNNS LOUIE VALENTINO-ET,,PEARLMONT IMPULS DAFFY,,,,
206HO0055,BANDERAS,504720,CESAR MASC. VALENTEIN ET G.M.*,,PASQUERO HUNTER ZINGARA,,,,
29HO13463,ZEBRA,200HO13463,BRAEDALE GOLDWYN,,WINDSOR-MANOR ZEBEE-ET,,,,
29HO11170,GOLBAT,29HO8768,B-Y-U MANDEL BOMBAY-ET,,VILLA CURTA MTOTO ALBA ET,,,,
1HO10085,YANO,7HO8081,ENSENADA TABOO PLANET-ET,,COYNE-FARMS YELENA CRI ET TV,,,,
203HO3032,PADEN,1HO10788,COYNE-FARMS JACEY CRI-ET,,KHW SHAMROCK ARALYN-ET,,,,
14HO2288,SCORE,1HO1333,CURTMAID EMERALD TARGET,,INTERGEN-I SECRET SONATA-ET,,,,
11HO0570,AltaMR P-RED,7HO10904,SANDY-VALLEY COLT P-RED-TW,,WILSTAR GOLDWYN DYNASTY-ET,,,,
200HO6196,EVERYDAY,7HO8081,ENSENADA TABOO PLANET-ET,,CROCKETT-ACRES ELITA-ET,,,,
559658,PROLOG,70HO0461,RONNYBROOK PRELUDE-ET,,MONA,,,,
21HO1462,HILLVIEW,7HO0900,STRAIGHT-PINE ELEVATION PETE,,OLCREST KINGPIN JAZZ,,,,
73HO2615,NIGHTHAWK,71HO0843,TOWNSON LINDY ET,,CHERRY CREST NIGHTIME,,,,
1HO6857,MR CRYSTAL,29HI8343,WA-DEL CONVINCER ET TL CV BY,,MS CRYSTAL HAVEN KRYSTAL-ET,,,,
200HO7837,SUREMACY,7HO11351,SEAGULL-BAY SUPERSIRE-ET,,ALL.NURE SNOWMAN SYAM ET TY,,,,
C5807,พรีเดเตอร์,,SOSA-ET,ML460678,,,,,
C5808,ปารีส,,MARSHALL,MC500079,,,,,
C5903,พาร์ทเนอร์,C4013,โปรเจ็ค,,MC542570,,,,
C5803,โพเลี่ยน,,RUEBEN,,MC500530,,,,
200HO11126,RUSS-PP-RED,7HO12708,ZIMMERVIEW WONKA LOYOLA-P,,ROLLEN-NS S SHOT RINA P-ET,,,,
11HO5179,GRECO,11HO3243,MAIZEFELD BELLWOOD-ET,,MIKARY MANDEL GAIL-ET,,,,
200HO5702,SHADA,29HO10792,APPLOUIS STREAM-ET,,FAR-O-LA SABEL SERINA-ET,,,,
11HO2259,LIGHTENING,29HO2581,S-W-D VALIANT,,IV-ANN ELEVATION PATTY,,,,
200HO10040,KINGKONG,7HO11477,DE-SU BKM MCCUTCCHEN 1174-ET,,LEVASH EXPLODE KIANNA,,,,
7HO12405,TOPLINE,7HO11219,HAMMER-CREEK FRED KRUNCH-ET,,SANDY-VALLEY IOTA TOPAZ-ET,,,,
7HO10214,P MARTY,7HO7463,KLUMBS DURHAM PONTIAC,,GOLD-N-OAKS DREAMGAL-ET,,,,
97HO40621,TRY RC,94HO13666,SCIENTIFIC DESTRY-ET,,OELHORST ROSE ALI 160,,,,
55HO13975,PHARO,7HO13250,S-S-I MONTROSS JEDI-ET,,SANDY-VALLEY BL PARADISE-ET,,,,
SRB100,SWEDISH RED,,100%SRB,,100%SRB,,,,
11JE1234,MACHO,11JE1117,GLYNN VALENTINO MARCIN,,LIVE OAK MAXIMUM 4965,,,,
040HO2235,FACTORY,040HO2025,PAWNEE FARM ARLINDA CHIEF,,EL PAJARO BENEFACTOR CINDER,,,,
507HO14115,SEAMUS-ET,7HO12833,DE-SU SYRACUSE 13095-ET,,S-S-I JOSUPR TOPAZ 11382-ET,,,,
7HO9658,LENO-ET,29HO12209,PICSTON SHOTTLE-ET,,MORNINGVIEW OMAN LINDSEY-ET,,,,
9HO0771,PEBBLE,7HO0286,CEDAR-GROVE GOLDEN NUGGET,,LJC ELEVATION TOP SPOT,,,,
100HO11245,SARINA,29HO12209,PICSTON SHOTTLE-ET,,OCEAN-VIEW ALLEN SARINA,,,,
100HO10887,POTO,7HO7872,KHW KITE ADVENT-RED-ET,,WINDY-KNOLL-VIEW PROMIS-ET,,,,
70HO0947,DECON,75HO0561,HANOVERHILL RAIDER-ET,,BRIGEEN HANOVER DEBRA,,,,
200HO10926,PHONE,250HO13267,S-S-I MONTROSS DUKE-ET,,SILVERRIDGE V SSHOT EARRING,,,,
100HO11847,POKER,29HO17573,SEAGULL-BAY SILVER-ET,,BOSSIR EPIC PANSY-ET,,,,
9HO1989,PROVO,9HO1284,ART-ACRES NED BOY OSCAR-ET,,FUTURALAND TESK PAMULA,,,,
29HO14926,TIMELESS,7HO8081,ENSENADA TABOO PLANET-ET,,REGANCREST-BP BOLVR TAB-ET,,,,
200HO10077,MCGRATH,7HO11477,DE-SU BKM MCCUTCHEN 1174-ET,,REGANCREST-BH F GIADA-ET,,,,
7HO10502,BACON,7HO8081,ENSENADA TABOO PLANET-ET,,END-ROAD SHOTTLE BIRDIE-ET,,,,
7HO11464,EARNHARDT P,14HO4929,LONG-LANGS OMAN OMAN-ET,,DA-SO-BURN LAWNBOY ELSIEET,,,,
7HO8946,ROLAND,14HO3597,KEYSTONE POTTER,,PHIL-RU DURHAM ROBBIE-N,,,,
395028,PERTH,7HO0461,RONNYBROOK PRELUDE ET,,EISBLUM,,,,
204HO5034,LONAR,204HO0695,LAUDAN ET,,GAH MA 362,,,,
76HO0083,VANBREN,73HO0332,GLENAFTON ENHANCER,,RELAY ARISE SWD VIV II-ET,,,,
29HO5423,PALADIN,8HO0341,CRESCENTMEAD CHIEF STEWART,,JUNIPER-MIST ELEVATION PAULA,,,,
250HO1019,LUGANO,200HO2427,ARDROSS STERLING,,COMESTAR LAUSINTINA SAL TO,,,,
1HO11022,SALVINO,97HO40346,COOKIECUTTER MOM HUNTER-ET,,FUSTEAD SYDNEY CRI-ET,,,,
7HO11714,BENZO,7HO10625,RALMA PLANET TEMPO,,B-HIDDENHILLS BUCKEYE 558,,,,
200HO10867,KRISTOFF,200HO7884,WILLSBRO ABBOTT-ET,,PROGENESIS SUPERSHOT KASSI DY,,,,
1HO10833,HUBCAB,1HO2848,CO-OP AUDEN PARKER-ET,,MY-JOHN PLANET MIDAS-ET,,,,
14HO6338,UPSTATE,11HO7965,DIAMOND-OAK ARMSTEAD-ET,,NED-EL TREDWAY 4337,,,,
14HO7492,PARADON,1HO9527,CO-OP BOOSSIDE MASSEY-ET,,CLAYTOP RADON PARABOLA,,,,
29HO10290,MAGILL,14HO2090,HA-HO CUBBY MANFRED-ET,,RICECREST FORMAT ALLISON-ET,,,,
200HO10470,PERSENT,777HO3950,RICHMOND-FD EL BOMBERO-ET,,WELCOME MOGUL PATTS-ET,,,,
14HO3499,KERRY,7HO4985,OUT-JOCK CHOICE AMEL TL TV TY,,RAHE-CREST BELLWOOD KUBE,,,,
200HO2630,SANSON,200HO5049,MORNINGVIEW ASHLAR-ET,,SANDY-VALLEY SPT SAVANNA-ET,,,,
1HO9162,LANDER,29HO12209,PICSTON SHOTTLE-ET,,ROZ-ACRES BWM LOUISE,,,,
29HO14427,ABC,7HO6417,O-BEE MANFRED JUSTICE-ET,,MTN-VIEW-S BOLIV ALEXA-ET,,,,
7HO7934,LIFE,7HO6131,REGANCREST EMORY DERRY-ET,,BRAEDALE SECOND CUT,,,,
7HO10375,MR MUDD,29HO10124,END-ROAD PVF BOLIVER-ET,,SILDAHL O MIGHTY MERCURY,,,,
7HO10998,SAN,7HO8190,GEN-MARK STMATIC SANCHEZ,,PINE-SHELTER CHELSY SHO-ET,,,,
7HO10671,DAWG,7HO7712,VELVET-VIEW-KJ SOCRATES-ET,,COYNE-FARMS BRET DAFFERS-ET,,,,
29HO10300,PALMYRA,14HO2090,HA-HO CUBBY MANFRED-ET,,MORNINGVIEW RUDY PINTAIL,,,,
29HO9799,JULER,20HO9603,GIBBON,,KED ELTON JEWEL,,,,
11HO4890,BEAU,20HO0002,250 DOMBINATOR-ET,,9187,,,,
187HO5309,SUPERGOLD,7HO11351,SEAGULL-BAY SUPERSIRE-ET,,-,,,,
398413,ENEMY,20HO0003,ESQUIMAU,,TREUE,,,,
29HO18124,CHILLY,29HO16955,VIEW-HOME MONTEREY-ET,,ROB-KAR MOGUL CLOVER-ET,,,,
11HO3442,SUPER,7HO1897,TO-MAR BLACKSTAR-ET,,GI-HILL CREST MARK 1F RHNEA,,,,
7HO17984,NOVA,7HO11351,SEAGULL-BAL SUPERSIRE-ET,,AMMON-PEACHY SUPER 7068-ET,,,,
7HO11984,NOVA,7HO11351,SEAGULL-BAL SUPERSIRE-ET,,AMMON-PEACHY SUPER 7068-ET,,,,
1HO7171,EDGAR,29HO8557,RICECREST BRETT-ET,,PROBSTLAND ELSIE ELLA,,,,
200HO2069,POUNDER,14HO3597,KEYSTONE POTTER,,STANTONS SANYA,,,,
11HO2178,PEPITO-ET,8HO9527,WILLOW-FARM ROCKMAN IVANHOE,,SUMMIT CREST FOBES GRACIE,,,,
7HO9989,MOSEBY,204HO1748,MASCOL ET,,MORNINGVIEW MRTY MAYA-ET,,,,
1HO9200,APPLE,1HO6833,KED MTOTO JEWEL TRES-ET,,CLEAR-ECHO 505 MORTR 960-ET,,,,
250HO0956,REDSHOT,29HO12209,PICSTON SHOTTLE-ET,,ISLEHAVEN GOLD DANCER RED,,,,
7HO12426,SIGEL,7HO11547,LADYS-MANOR MAN-O-SHAN-ET,,SANDY-VALLEY BKM MUSICAL-ET,,,,
200HO1473,MORE,206HO0004,CAROL P.MTOTO ET TV TL G.M.***,,STANBRO MONALISA,,,,
7HO8720,SET-ET,7HO6302,BO-IRISH RJ LEAD READY-ET,,PALMYRA-CREEK EMERSON SASSY,,,,
151HO0718,RUGER,7HO11314,MOUNTFIELD SSI DCY MOFUL-ET,,SANDY-VALLEY ROBUST RUBUST RUBY-ET,,,,
202HO1735,CARDENTO,7HO12600,BACON-HILL PETY MODESTY-ET,,COL CARRYLINE,,,,
11HO11646,SYDER,250HO1109,STNATONS CAMARO,,SYNERGY SUPERSIRE 5321,,,,
14HO5263,SING,14HO3597,KEYSTONE POTTER,,JO-WAL-LANGS ADD N SALO-ET,,,,
7HO12729,CHEROKEE,7HO12198,MORNINGVIEW MCC KINGBOY-ET,,CLAYNOOK CHARLOTTE MOGUL,,,,
200HO3669,CARUSO-RED,200HO5024,DUDOC MR BURNS-ET,,LYNNCREST SEPT CASEY-RED,,,,
29HO18544,ELATED,11HO11607,DE-SU ALTASUPERSTAR-ET,,STANTONS SUPERSIRE EYB,,,,
9HO2363,GEYSER,7HO3994,WA-DEL RC MATT-ET,,PRAIRIE-BELLE GLORY-ET,,,,
97HO42165,PARSON,200HO10619,SILVERRIDGE V IMAX,,WOODCREST JEDI GENE-ET,,,,
29HO18758,MAESTRO,7HO12788,MELARRY JOSUPER FRAZZLED-ET,,IHG SILVER MERRIT 9762,,,,
11HO3616,MORICE,8HO2024,ROTHROCK TRADITION LEAMAN,,DAE-PY LORA-ET,,,,
14HO7323,IDOL,200HO7450,AMIGHETTI NUMERO UNO-ET,,NED-EL DEANN 6417,,,,
11HO6113,OBSERVER,11HO4063,RICECREST MARTY-ET,,MAR-RIVER BELWOOD OLIVIA-ET,,,,
7HO9222,SHOT,29HO12209,PICSTON SHOTTLE-ET,,LINCOLN-HILL ITO NIBBLES,,,,
7HO13530,TEMPLE,7HO12421,DE-SU MILLINGTON 12074-ET,,S-S-I ALTAOAK 8055 10133-ET,,,,
7HO6190,WISHBONE,11HO3686,PARKER AERO WADE-ET,,H-R-Z OSCAR BESSIE-ET,,,,
11HO12343,AltaJARED,7HO13250,S-S-I MONTROSS JEDI-ET,,N-FOURSQUARE DLTA DENISE-ET,,,,
741962,STAVANGER,28HO0187,HANOVERHILL STARDOM,,VEILCHEN,,,,
9HO2742,DARNALL,7HO4637,LADYS-MANOR WINCHESTER-ET,,REGANCREST ELTON DREAM-ET,,,,
7HO9429,RUEBEN,29HO12209,PICSTON SHOTTLE-ET,,JEFFANA FINLEY FOXY-ET,,,,
7HO13954,HOGAN,7HO12793,LADYS-MANOR YODER SASH-ET,,S-S-I DAMARS YARINA 9810-ET,,,,
7HO10640,O BENNET,29HO10124,END-ROAD PVF BOLIVER-ET,,DEWGOOD O-BEA,,,,
C5902,แพรี่,304129,IGNTTE,,AF5628,,,,
C5805,เป็บปิโล่,,DURABLE,MC532262,,,,,
21HO1854,ADISON,1HO1464,BIS-MAY TRADITION CLETIUS,,KNOXLAND ENCHANTMENT E HASTY,,,,
11HO8178,VEGAS,11HO6308,KIEVEST WELPER,,NIBBELINK VGS VIXEN,,,,
7HO8066,EDISON,200HO4144,COMESTAR STORMATIC,,RAGGI JOLT EMILY-ET,,,,
7HO14829,LEO,7HO13598,S-S-I MODESTY PINNACLE-ET,,CHERRY-ACRES JEDI LAURI-ET,,,,
200HO7525,SOLID,1HO10490,DE-SU FREDDIE GALAXY-ET,,PIROLO MAN OMAN SELEN ET,,,,
1JE0803,SCORE,29JE3647,ALL LYNNS RESTCRE VIBRANT-ET,,HIGH LAWN IMPULS EUREKA,,,,
1HO11676,ASTOUND,1HO11048,SPRUCE-HAVEN STOIC-ET,,NO-FLA DENIM MILEY 33475-ET,,,,
1HO7794,PARA*RC,1HO5500,STARSTRUCK J PARADOX-RED-ET,,WHAT-IF MTOTO SARA-ET,,,,
7HO10871,LIMA,7HO8165,ENGLAND-AMMON MILLION-ET,,NORTH-FORK LYNCH DINA-ET,,,,
198HO2122,REDBIRD,184HO9033,BRETAGNE ET,,BRILLANT,,,,
11HO1146,ALTAUNESCO,7HO10606,DE-SU OBSERVER-ET,,NO-FLA DIE-HARD MOE 23735,,,,
11HO11146,ALTAUNESCO,7HO10606,DE-SU OBSERVER-ET,,NO-FLA DIE-HARD MOE 23735,,,,
7HO11402,TAVIR,7HO8747,END-ROAD O-MAN BRONCO-ET,,SANDY-VALLEY JETSTR TAVI-ET,,,,
504HO4050,LUCKYCHARM,250HO1010,GENERVATIONS LEXOR,,SURE-VIEW PLANET LUCKY-ET,,,,
151HO0599,CARLOS,29HO11614,KED OUTSIDE JEEVES-ET,,RALMA GOLDWYN CARLY-ET,,,,
250HO12365,DEEGAN,7HO11547,LADYS-MANOR MAN-O-SHAN-ET,,KINGS-RANSOM IOTA DRAMA-ET,,,,
200HO2704,LERO,1HO8778,CHARLESDALE SUPERSTITION-ET,,REGANCREST LISSA-ET,,,,
29HO17598,FURIOUS,1HO9527,CO-OP BOSSIDE MASSEY-ET,,NORTH-ECHO PLANET 1909-ET,,,,
76HO0189,MAGIC,29HO0715,MR HURL-THREE MOMENTUM-RED-ET,,ANKER-MA CUBBY LISHA-ET,,,,
11HO6031,SILVERADO,11HO3562,SHEN-VAL NV LM FORMATION-ET,,BOSSIDE RITA RHONDA,,,,
11HO7107,CASUAL,97HO0018,528 EASTLAND CASH-ET,,WOLFVERS JABOA STAR,,,,
29HO9810,CHEDDAR,11HO3562,SHEN-VAL NV LM FORMATION-ET,,DE-SU BELLWOOD CHEDDAR-ET,,,,
1HO4510,VACATION-ET,1HO1222,CURRIES-M HOLIDAY-ET,,CHARVERNE MICHAEL VIVA,,,,
672491,MEGALL,200HO3067,PURSUIT SEPTEMBER STORM,,MEGGILEE,,,,
11HO9491,Alta NITTNAY,200HO3121,HARTLINE TITANIC-ET,,OAKLEIGH MARSHALL GWEN,,,,
203BS0984,AXEMASTER,54BS0374,SUN-MADE VIGOR ET *TM,,ELM PARK HART AMERI LADY ET,,,,
7HO12313,CASHAY,7HO11351,SEAGULL-BAY SUPERSIRE-ET,,LADYS-MANOR M RUBYD SHAY-ET,,,,
203HO3029,JACEY TEO,1HO10788,COYNE-FARMS JACEY CRI-ET,,TRANQUILLITY AC DREARYS TRACE,,,,
7HO8167,KABEL,9HO2704,COYNE-FARMS PATRON BEAVER,,ART-ACRES MTOTO KAY 449-ET,,,,
14HO5267,MARSON,14HO3597,KEYSTONE POTTER,,DIALO WADE J-570,,,,
250HO11306,OIL,7HO9879,PINE-TREE SPEARMINT-ET,,HIDDENHILLS O MAN 338-ET,,,,
40HO2465,CLOCK,15HO0120,HARRISBURG GAY IDEAL,,-,,,,
820489,CONERO,97HO0018,528 EASTLAND CASH-ET,,ANNEMARIE,,,,
29HO18390,STRYKER,29HO17607,BRYCEHOLME SS BOASTFUL-ET,,COASTAL-VIEW YOWZA 172-ET,,,,
200HO2978,CHARACTER,29HO16090,GLEN-TOCTIN SUPER LARGE-ET,,MS PLANET CHERI-ET,,,,
788340,STAPEL,21HO0687,SPRUCE-EDGE MAJESTY,,BUCHE,,,,
29HO16009,KOSHER,29HO11614,KED OUTSIDE JEEVES-ET,,DE-SU 7012-ET,,,,
29HO16217,PENTO,29HO13070,WELCOME PENNYMAKER-ET,,BEN-AKERS MAS TORRE-2-ET,,,,
